NIS code;Woonplaats;Mannen;Vrouwen;Totaal
1000;België;5.761.410;5.936.147;11.697.557
2000;Vlaams Gewest;3.352.319;3.422.488;6.774.807
3000;Waals Gewest;1.800.829;1.880.746;3.681.575
4000;Brussels Hoofdstedelijk Gewest;608.262;632.913;1.241.175
10000;Provincie Antwerpen;947.807;963.145;1.910.952
11000;Arrondissement Antwerpen;534.101;543.983;1.078.084
11001;Aartselaar;7.327;7.425;14.752
11002;Antwerpen;269.754;269.156;538.910
11004;Boechout;6.722;7.084;13.806
11005;Boom;9.476;9.586;19.062
11007;Borsbeek;5.493;5.816;11.309
11008;Brasschaat;18.444;20.131;38.575
11009;Brecht;15.134;15.253;30.387
11013;Edegem;11.015;11.746;22.761
11016;Essen;9.808;9.821;19.629
11018;Hemiksem;5.999;6.106;12.105
11021;Hove (Antwerpen);4.049;4.395;8.444
11022;Kalmthout;9.481;9.941;19.422
11023;Kapellen (Antwerpen);13.579;14.164;27.743
11024;Kontich;10.582;11.042;21.624
11025;Lint;4.226;4.322;8.548
11029;Mortsel;12.786;13.605;26.391
11030;Niel;5.363;5.436;10.799
11035;Ranst;9.800;9.809;19.609
11037;Rumst;7.646;7.771;15.417
11038;Schelle;4.198;4.464;8.662
11039;Schilde;9.858;10.435;20.293
11040;Schoten;16.571;17.789;34.360
11044;Stabroek;9.369;9.468;18.837
11050;Wijnegem;5.023;5.409;10.432
11052;Wommelgem;6.497;6.733;13.230
11053;Wuustwezel;10.816;10.828;21.644
11054;Zandhoven;6.627;6.725;13.352
11055;Zoersel;10.955;11.472;22.427
11056;Zwijndrecht;9.590;9.957;19.547
11057;Malle;7.913;8.094;16.007
12000;Arrondissement Mechelen;175.156;181.144;356.300
12002;Berlaar;5.916;6.033;11.949
12005;Bonheiden;7.554;7.904;15.458
12007;Bornem;10.838;11.144;21.982
12009;Duffel;8.857;9.125;17.982
12014;Heist-op-den-Berg;21.821;22.405;44.226
12021;Lier;18.433;19.476;37.909
12025;Mechelen;43.430;45.184;88.614
12026;Nijlen;11.539;11.870;23.409
12029;Putte;9.203;9.428;18.631
12035;Sint-Katelijne-Waver;10.621;10.974;21.595
12040;Willebroek;13.710;14.063;27.773
12041;Puurs-Sint-Amands;13.234;13.538;26.772
13000;Arrondissement Turnhout;238.550;238.018;476.568
