Gemeente,Postcode,Inwonertal,Oppervlakte
"Anderlecht","1070","121.394","17,71"
"Brussel (stad)","1000","187.686","32,61"
"Elsene","1050","86.917","6,34"
"Etterbeek","1040","48.223","3,15"
"Evere","1140","43.481","5,02"
"Ganshoren","1083","25.202","2,46"
"Jette","1090","52.604","5,04"
"Koekelberg","1081","21.997","1,17"
"Oudergem","1160","34.937","9,03"
"Schaarbeek","1030","130.270","8,14"
"Sint-Agatha-Berchem","1082","25.288","2,95"
"Sint-Gillis","1060","48.498","2,52"
"Sint-Jans-Molenbeek","1080","97.102","5,89"
"Sint-Joost-ten-Node","1210","26.809","1,14"
"Sint-Lambrechts-Woluwe","1200","58.448","7,22"
"Sint-Pieters-Woluwe","1150","42.106","8,85"
"Ukkel","1180","84.647","22,91"
"Vorst","1190","56.271","6,25"
"Watermaal-Bosvoorde","1170","25.190","12,93"
