Gemeente,Type,Provincie,Oppervlakte (km²),Aantal inwoners (01/01/2024)
"Aalst","stad","Oost-Vlaanderen","78,12","90.931"
"Aalter","gem.","Oost-Vlaanderen","119,19","29.731"
"Aarschot","stad","Vlaams-Brabant","62,52","31.128"
"Aartselaar","gem.","Antwerpen","10,93","14.885"
"Affligem","gem.","Vlaams-Brabant","17,70","13.650"
"Alken","gem.","Limburg","28,14","11.914"
"Alveringem","gem.","West-Vlaanderen","80,01","5.024"
"Antwerpen","stad","Antwerpen","208.22","556.138"
"Anzegem","gem.","West-Vlaanderen","41,79","15.145"
"Ardooie","gem.","West-Vlaanderen","34,58","9.349"
"Arendonk","gem.","Antwerpen","55,38","13.381"
"As","gem.","Limburg","22,07","8.258"
"Asse","gem.","Vlaams-Brabant","49,64","35.703"
"Assenede","gem.","Oost-Vlaanderen","87,22","14.649"
"Avelgem","gem.","West-Vlaanderen","21,75","10.405"
"Baarle-Hertog","gem.","Antwerpen","7,48","2.998"
"Balen","gem.","Antwerpen","72,88","23.516"
"Beernem","gem.","West-Vlaanderen","71,68","16.254"
"Beerse","gem.","Antwerpen","37,48","18.601"
"Beersel","gem.","Vlaams-Brabant","30,01","26.498"
"Begijnendijk","gem.","Vlaams-Brabant","17,62","10.612"
"Bekkevoort","gem.","Vlaams-Brabant","37,17","6.772"
"Beringen","stad","Limburg","78,30","48.328"
"Berlaar","gem.","Antwerpen","24,57","12.043"
"Berlare","gem.","Oost-Vlaanderen","37,82","15.482"
"Bertem","gem.","Vlaams-Brabant","29,75","10.233"
"Bever","gem.","Vlaams-Brabant","19,78","2.274"
"Beveren-Kruibeke-Zwijndrecht","gem.","Oost-Vlaanderen","206.45","87.490"
"Bierbeek","gem.","Vlaams-Brabant","39,73","10.518"
"Bilzen-Hoeselt","stad","Limburg","106.08","42.862"
"Blankenberge","stad","West-Vlaanderen","17,41","20.539"
"Bocholt","gem.","Limburg","59,34","13.749"
"Boechout","gem.","Antwerpen","20,66","13.835"
"Bonheiden","gem.","Antwerpen","29,27","15.453"
