Gemeente,Type,Provincie,Oppervlakte (km²),Aantal inwoners (01/01/2016)
"'s-Gravenbrakel","stad","Henegouwen","84,68","21.426"
"Aarlen","stad","Luxemburg","118,64","29.274"
"Aat","stad","Henegouwen","126,95","28.951"
"Aiseau-Presles","gem.","Henegouwen","22,19","10.805"
"Amay","gem.","Luik","27,61","14.182"
"Amel","gem.","Luik","125,15","5.492"
"Andenne","stad","Namen","86,17","26.281"
"Anderlues","gem.","Henegouwen","17,02","12.012"
"Anhée","gem.","Namen","65,67","7.101"
"Ans","gem.","Luik","23,35","28.159"
"Anthisnes","gem.","Luik","37,08","4.116"
"Antoing","stad","Henegouwen","31,13","7.817"
"Assesse","gem.","Namen","78,16","6.917"
"Attert","gem.","Luxemburg","70,94","5.411"
"Aubange","gem.","Luxemburg","45,60","16.646"
"Aubel","gem.","Luik","18,83","4.229"
"Awans","gem.","Luik","27,16","9.240"
"Aywaille","gem.","Luik","79,97","12.257"
"Baelen","gem.","Luik","85,73","4.370"
"Bastenaken","stad","Luxemburg","172,03","15.580"
"Beaumont","stad","Henegouwen","92,97","7.052"
"Beauraing","stad","Namen","174,55","9.069"
"Beloeil","gem.","Henegouwen","61,55","13.982"
"Bergen","stad","Henegouwen","146,56","94.964"
"Berloz","gem.","Luik","14,49","3.024"
"Bernissart","gem.","Henegouwen","43,42","11.943"
"Bertogne","gem.","Luxemburg","91,67","3.483"
"Bertrix","gem.","Luxemburg","137,70","8.667"
"Bevekom","gem.","Waals-Brabant","38,58","7.104"
"Beyne-Heusay","gem.","Luik","7,32","12.096"
"Bièvre","gem.","Namen","109,59","3.250"
"Binche","stad","Henegouwen","60,66","33.445"
"Bitsingen","gem.","Luik","38,17","8.994"
"Blegny","gem.","Luik","26,07","13.212"
"Borgworm","stad","Luik","31,04","14.906"
"Bouillon","stad","Luxemburg","149,09","5.408"
"Boussu","gem.","Henegouwen","20,01","19.748"
"Braives","gem.","Luik","44,00","6.238"
"Brugelette","gem.","Henegouwen","28,40","3.619"
"Büllingen","gem.","Luik","150,49","5.484"
"Brunehaut","gem.","Henegouwen","46,11","8.068"
"Burdinne","gem.","Luik","32,57","3.263"
"Burg-Reuland","gem.","Luik","108,96","3.964"
"Bütgenbach","gem.","Luik","97,31","5.605"
"Celles","gem.","Henegouwen","67,14","5.611"
"Cerfontaine","gem.","Namen","83,45","4.853"
"Chapelle-lez-Herlaimont","gem.","Henegouwen","18,10","14.810"
"Charleroi","stad","Henegouwen","102,08","202.182"
"Chastre","gem.","Waals-Brabant","31,27","7.518"
"Châtelet","stad","Henegouwen","27,03","36.463"
"Chaudfontaine","gem.","Luik","25,52","20.766"
"Chaumont-Gistoux","gem.","Waals-Brabant","48,09","11.698"
"Chièvres","stad","Henegouwen","46,91","6.946"
"Chimay","stad","Henegouwen","197,10","9.850"
"Chiny","stad","Luxemburg","113,69","5.233"
"Ciney","stad","Namen","147,56","16.323"
"Clavier","gem.","Luik","79,12","4.545"
"Colfontaine","gem.","Henegouwen","13,62","20.605"
"Comblain-au-Pont","gem.","Luik","22,68","5.360"
"Courcelles","gem.","Henegouwen","48,04","31.217"
"Court-Saint-Étienne","gem.","Waals-Brabant","26,64","10.395"
"Couvin","stad","Namen","206,93","13.946"
"Crisnée","gem.","Luik","16,83","3.254"
"Dalhem","gem.","Luik","36,06","7.280"
"Daverdisse","gem.","Luxemburg","56,40","1.457"
"Dinant","stad","Namen","99,80","13.494"
"Dison","gem.","Luik","14,01","15.124"
"Doische","gem.","Namen","84,02","2.958"
"Donceel","gem.","Luik","23,31","3.032"
"Doornik","stad","Henegouwen","213,75","69.471"
"Dour","gem.","Henegouwen","33,32","16.733"
"Durbuy","stad","Luxemburg","156,61","11.478"
"Écaussinnes","gem.","Henegouwen","34,77","10.922"
"Edingen","stad","Henegouwen","40,59","13.489"
"Eigenbrakel","gem.","Waals-Brabant","52,12","39.785"
"Éghezée","gem.","Namen","102,81","15.951"
"Elzele","gem.","Henegouwen","44,69","5.922"
"Engis","gem.","Luik","27,74","6.018"
"Érezée","gem.","Luxemburg","78,44","3.232"
"Erquelinnes","gem.","Henegouwen","44,23","9.920"
"Esneux","gem.","Luik","34,05","13.037"
"Estaimpuis","gem.","Henegouwen","31,75","10.255"
"Estinnes","gem.","Henegouwen","72,73","7.679"
"Étalle","gem.","Luxemburg","78,10","5.746"
"Eupen","stad","Luik","103,74","19.338"
"Faimes","gem.","Luik","28,48","3.911"
"Farciennes","gem.","Henegouwen","10,39","11.338"
"Fauvillers","gem.","Luxemburg","74,11","2.237"
"Fernelmont","gem.","Namen","65,61","7.792"
"Ferrières","gem.","Luik","56,90","4.847"
"Fexhe-le-Haut-Clocher","gem.","Luik","19,25","3.254"
"Flémalle","gem.","Luik","36,68","26.058"
"Fléron","gem.","Luik","13,72","16.507"
"Fleurus","stad","Henegouwen","59,28","22.802"
"Floreffe","gem.","Namen","38,89","7.957"
"Florennes","gem.","Namen","133,55","11.337"
"Florenville","stad","Luxemburg","146,91","5.632"
"Fontaine-l'Évêque","stad","Henegouwen","28,41","17.808"
"Fosses-la-Ville","stad","Namen","63,24","10.412"
"Frameries","gem.","Henegouwen","25,95","21.828"
"Frasnes-lez-Anvaing","gem.","Henegouwen","112,44","11.709"
"Froidchapelle","gem.","Henegouwen","86,03","3.908"
"Gedinne","gem.","Namen","151,56","4.563"
"Graven","gem.","Waals-Brabant","55,44","12.607"
"Geer","gem.","Luik","23,62","3.361"
"Geldenaken","stad","Waals-Brabant","73,31","13.883"
"Gembloers","gem.","Namen","95,86","25.528"
"Genepiën","stad","Waals-Brabant","89,57","15.302"
"Gerpinnes","gem.","Henegouwen","47,10","12.527"
"Gesves","gem.","Namen","64,92","7.159"
"Gouvy","gem.","Luxemburg","165,11","5.156"
"Grâce-Hollogne","gem.","Luik","34,24","22.145"
"Habay","gem.","Luxemburg","103,64","8.380"
"Hamoir","gem.","Luik","27,80","3.883"
"Hamois","gem.","Namen","76,42","7.285"
"Ham-sur-Heure-Nalinnes","gem.","Henegouwen","45,68","13.579"
"Hannuit","stad","Luik","86,53","15.998"
"Hastière","gem.","Namen","56,46","5.959"
"Havelange","gem.","Namen","104,73","5.076"
"Hélécine","gem.","Waals-Brabant","16,62","3.387"
"Hensies","gem.","Henegouwen","25,99","6.872"
"Herbeumont","gem.","Luxemburg","58,81","1.658"
"Héron","gem.","Luik","38,32","5.178"
"Herstal","gem.","Luik","23,54","39.617"
"Herve","stad","Luik","56,84","17.533"
"Honnelles","gem.","Henegouwen","43,65","5.189"
"Hotton","gem.","Luxemburg","57,32","5.468"
"Houffalize","stad","Luxemburg","166,58","5.177"
"Houyet","gem.","Namen","122,31","4.744"
"Hoei","stad","Luik","47,74","21.292"
"Incourt","gem.","Waals-Brabant","38,79","5.347"
"Itter","gem.","Waals-Brabant","34,92","6.784"
"Jalhay","gem.","Luik","107,75","8.566"
"Jemeppe-sur-Sambre","gem.","Namen","46,80","18.978"
"Juprelle","gem.","Luik","35,36","9.223"
"Jurbeke","gem.","Henegouwen","57,86","10.529"
"Kasteelbrakel","gem.","Waals-Brabant","22,70","10.287"
"Kelmis","gem.","Luik","18,12","10.917"
"Komen-Waasten","stad","Henegouwen","61,09","18.101"
"La Bruyère","gem.","Namen","52,98","9.060"
"La Louvière","stad","Henegouwen","64,24","80.430"
"La Roche-en-Ardenne","stad","Luxemburg","147,52","4.189"
"Lasne","gem.","Waals-Brabant","47,22","14.133"
"Léglise","gem.","Luxemburg","172,92","5.180"
